sentiment,date,tweet
positive,Wed Apr 05 23:59:39 +0000 2017,"RT @amy_mcphee1: You still have a month to enter! Check it out and be creative. Coding is allowed!
https://t.co/yBNVdddR2R https://t.co/fRo…"
positive,Wed Apr 05 23:59:39 +0000 2017,@VTMuseum The link contains malware according to google chrome
positive,Wed Apr 05 23:59:38 +0000 2017,#salesmgt - 18 tools to plan &amp; analyze your digital marketing programs on your android tablets &amp; phones… https://t.co/AZ6nZpyggI
positive,Wed Apr 05 23:59:38 +0000 2017,"RT @AUGreekLife: Congrats to Marina for being this weeks Greek of the Week! 
Nominate your fellow Greeks at: https://t.co/Ci63P8ysNr https:…"
positive,Wed Apr 05 23:59:38 +0000 2017,"RT @vidme: New! Vidme 2.3 for Android is out. Big update. Threaded comments, tip lists, a new video player, and categories. https://t.co/t5…"
positive,Wed Apr 05 23:59:38 +0000 2017,"RT @AIIAmericanGirI: Pete Hoekstra Calls for Hearings on Susan Rice Unmasking Scandal, 'Big Brother Potentially at Its Worst'
https://t.co/…"
positive,Wed Apr 05 23:59:37 +0000 2017,Google invests in new subsea cable that connects Singapore to Australia: Google today… https://t.co/fkzQE300Dt
positive,Wed Apr 05 23:59:37 +0000 2017,"A wild Chansey (31.1% 3/5/6, Pound / Dazzling Gleam) has appeared! Available until 17:29:00 (29m 46s). https://t.co/FLoy0gkee5"
positive,Wed Apr 05 23:59:37 +0000 2017,RT @Hunt_EdLeader: #CFEVS 1 of 10 schools nationally selected as a Google Reference School https://t.co/wlNYMZV9kt @GoogleForEdu
positive,Wed Apr 05 23:59:36 +0000 2017,#FSU #Noles Photo Gallery: Florida State Spring Practice April 5th https://t.co/CXnbVPdj4t #SportsRoadhouse
positive,Wed Apr 05 23:59:35 +0000 2017,A good Spinarak appeared in Modena! It will expire sometime between 2:00 and 2:59 AM.  #Monocle #PokemonGO #Modena https://t.co/5gLyjrbbtb
positive,Wed Apr 05 23:59:35 +0000 2017,"One of these days #google might be serious abt #android &amp; act they are producing an #OS which has responsibilities!
https://t.co/fvCTYW0hQC"
positive,Wed Apr 05 23:59:35 +0000 2017,https://t.co/XgyeVXNmgK.  Get your copy today
positive,Wed Apr 05 23:59:34 +0000 2017,"I just got 3 stars on everything on the course Rookie Ridge, Beat that! #fairwaysolitaire https://t.co/rM4GoiBeg4"
positive,Wed Apr 05 23:59:34 +0000 2017,"RT @vicstae: [🇲🇾MY GO] HELP RT!
#BTS Birthday Hologram Straps 🦄✨ by @_9293949597_ 
⭐️RM15/set, gifts included!
⭐️deadline:TBA
⭐️https://t.c…"
positive,Wed Apr 05 23:59:33 +0000 2017,"RT @DineshDSouza: This late plagiarism charge, far from derailing Gorsuch, shows how ineffective the left has been in smearing him https://…"
positive,Wed Apr 05 23:59:33 +0000 2017,C Carlsbad: Chansey ♀ 66.7% (15/3/12 - Zen Headbutt/Psychic - s:normal) til 17:28:56(29m 21s). https://t.co/7B7Ncu5UDP
positive,Wed Apr 05 23:59:33 +0000 2017,Work-Life Balance https://t.co/cq8IrVR8K0
positive,Wed Apr 05 23:59:32 +0000 2017,[Midtown] Larvitar♀ (31% 0/10/4 Rock Smash / Stomp) at 245 Park Ave 'til 08:28:51pm https://t.co/T4Id2RXRde
positive,Wed Apr 05 23:59:32 +0000 2017,"RT @Afrominx94: 1. You CLEARLY haven't watched enough Kpop boy group MVs to make this statement🙃
2. Wearing makeup =/= femininity
3. Google…"
positive,Wed Apr 05 23:59:31 +0000 2017,Play World of Cubes for FREE NOW! Available only for your Android phone / tablet here: https://t.co/Ae69WwMy7O https://t.co/VNJzSP2gIZ
positive,Wed Apr 05 23:59:31 +0000 2017,"RT @sidburris: Campus Carry: The Movement to Allow Guns on College Grounds, Explained – The Trace | #arleg #HB1249  https://t.co/G55AkGY5EJ"
positive,Wed Apr 05 23:59:30 +0000 2017,RT @BimmerRepair: BMW Airbag Recalls: Vehicles all over the world from over a dozen auto makers... https://t.co/zrVcMO5fZo
positive,Wed Apr 05 23:59:30 +0000 2017,Teddiursa 84.4% IV (11/13/14) with Scratch &amp; Crunch around North Myrtle until: 08:28:03pm (28m 32s). https://t.co/RaTyUvw4iz
positive,Wed Apr 05 23:59:29 +0000 2017,RT @RCABKMEARS: Stations of the Cross 2017 - Google Slides THIS is awesome!! https://t.co/U4XohJTq6v
positive,Wed Apr 05 23:59:29 +0000 2017,"@AImas8706 @RadioFreeTom Yes, we all gather that you are a google expert."
positive,Wed Apr 05 23:59:29 +0000 2017,@brittany928 @rachelleslie1 @_christiansnow @lisahagen23 Both places in AZ I had to google. Far away from airport
positive,Wed Apr 05 23:59:29 +0000 2017,"RT @mmpadellan: A measly 27% say they are ""proud"" of trump as president. The rest of us are rightly embarrassed. #wednesdaywisdom
https://t…"
positive,Wed Apr 05 23:59:28 +0000 2017,"""Google Earth Found Something Horrifying On An Island, And You Won't Believe What It Is https://t.co/xVPachKqWb"""
positive,Wed Apr 05 23:59:28 +0000 2017,"Salt, silicon or graphite: energy storage goes beyond lithium ion batteries https://t.co/jh1sPDRCLr"
positive,Wed Apr 05 23:59:27 +0000 2017,"TEP Plans More Renewables, New Technologies to Meet Future Energy Needs https://t.co/IxtPKMCCsG"
positive,Wed Apr 05 23:59:27 +0000 2017,A good Poliwag appeared! It will be in Modena until 2:57 AM.  #Monocle #PokemonGO #Modena https://t.co/5Ot1zoscIq
positive,Wed Apr 05 23:59:27 +0000 2017,I'm now an E-List celebrity in Kim Kardashian: Hollywood. You can be famous too by playing on Android! https://t.co/swcN7MGvcW
positive,Wed Apr 05 23:59:27 +0000 2017,"Iphone, android hit by broadcom wi-fi chip bugs: now apple, google plug flaws https://t.co/UEsqDeqJVf"
positive,Wed Apr 05 23:59:27 +0000 2017,Google's Custom Machine Learning Chips Are 15-30x Faster Than GPUs and CPUs https://t.co/E2DCDbyIgT
positive,Wed Apr 05 23:59:27 +0000 2017,Duke Energy wants to cut prices paid to solar power producers by 30% in latest regulatory case https://t.co/tLMqwHbNEw
positive,Wed Apr 05 23:59:27 +0000 2017,Road Hazard @ I-75 NB EXPY SW / S CENTRAL AVE SW https://t.co/KVfUsk5A8F
positive,Wed Apr 05 23:59:26 +0000 2017,Fashion Giant Attains 96% Renewables-Sourced Electricity https://t.co/kDsBKDgdae
positive,Wed Apr 05 23:59:26 +0000 2017,So FANtastic – Fiercest Fans https://t.co/WE9cAH4Cm6
positive,Wed Apr 05 23:59:26 +0000 2017,Hammersley to serve on TCL&amp;P board https://t.co/Eex7OlWnVq
positive,Wed Apr 05 23:59:25 +0000 2017,"RT @arirang_ASC: Apply to Hangout with @OfficialMonstaX next week! #MONSTAX_ASC
1) LOA- https://t.co/h31BKhZy4S
2) Hangout- https://t.co/aX…"
positive,Wed Apr 05 23:59:25 +0000 2017,Bridging global infrastructure gap tops agenda at annual UN Partnership Forum https://t.co/0iIkGKyBnU
